epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0956,1.60574,3.92383,1.25717,0.00384,0.80303,0.13292,0.06696,1.20763,3.43289,0.93618,0.00022,0.00022,0.00022
2,13.6696,1.28043,2.40638,1.08779,0.00464,0.9697,0.21063,0.11506,1.12854,3.36196,0.9653,0.000457723,0.000457723,0.000457723
3,15.9469,1.23383,1.70247,1.05681,0.00478,1,0.11014,0.06241,1.11995,3.34106,0.95088,0.00069307,0.00069307,0.00069307
4,18.2405,1.17881,1.50243,1.04564,0.00471,0.98485,0.12937,0.09496,1.04658,3.23511,0.94883,0.000926041,0.000926041,0.000926041
5,20.4838,1.19094,1.47264,1.05383,0.00471,0.98485,0.343,0.25519,1.15899,3.12363,1.02681,0.00115664,0.00115664,0.00115664
6,22.718,1.2502,1.34521,1.06922,1,0.16955,0.47566,0.32866,1.14183,2.84611,1.02387,0.00138485,0.00138485,0.00138485
7,24.971,1.1993,1.31248,1.04028,0.92945,0.39936,0.80564,0.50498,1.16768,2.39352,1.01825,0.0016107,0.0016107,0.0016107
8,27.1628,1.19232,1.25096,1.02739,0.93286,0.63165,0.88787,0.57699,1.14436,2.0129,1.01161,0.00183416,0.00183416,0.00183416
9,29.4061,1.14491,1.17471,1.02303,0.94503,0.80303,0.92401,0.62692,1.11485,1.738,1.03937,0.0019208,0.0019208,0.0019208
10,31.6034,1.17601,1.09346,1.056,0.75284,0.73847,0.7794,0.46438,1.3859,1.86732,1.14017,0.0019109,0.0019109,0.0019109
11,33.8336,1.24602,1.10699,1.06674,0.94566,0.84848,0.94011,0.61765,1.15497,1.22563,1.04525,0.001901,0.001901,0.001901
12,36.0643,1.15697,1.03398,1.01497,0.96391,0.89394,0.96437,0.66194,1.06934,0.901,0.9994,0.0018911,0.0018911,0.0018911
13,38.3255,1.08115,0.95502,1.00449,0.97849,0.95455,0.97974,0.6574,1.11918,0.876,1.03244,0.0018812,0.0018812,0.0018812
14,40.5223,1.14569,0.9465,1.00941,0.90674,0.88388,0.94539,0.63677,1.12412,1.0167,1.03083,0.0018713,0.0018713,0.0018713
15,42.7138,1.04966,0.89815,1.00574,0.89743,0.95455,0.92733,0.64295,1.04764,0.91013,1.01493,0.0018614,0.0018614,0.0018614
16,44.8925,1.12604,0.86233,1.00338,0.93864,0.92716,0.96813,0.671,1.04242,0.77366,1.02185,0.0018515,0.0018515,0.0018515
17,47.0962,1.07821,0.83033,0.99756,0.90044,0.95923,0.9574,0.64486,1.07898,0.69848,1.01794,0.0018416,0.0018416,0.0018416
18,49.2926,1.131,0.85546,1.02628,0.94782,0.92424,0.97264,0.65185,1.12223,0.70839,1.04926,0.0018317,0.0018317,0.0018317
19,51.4933,1.08012,0.80203,1.00496,0.89471,0.95455,0.93901,0.61056,1.11557,0.73321,1.03164,0.0018218,0.0018218,0.0018218
20,53.6721,1.08858,0.8107,1.01138,0.96954,0.95455,0.98299,0.69499,1.04299,0.74739,1.02562,0.0018119,0.0018119,0.0018119
21,55.8481,1.06703,0.76812,0.99664,0.94077,0.9697,0.97807,0.63941,1.12098,0.71463,1.03172,0.001802,0.001802,0.001802
22,58.0471,1.06878,0.73826,0.99893,0.95032,0.95455,0.9786,0.68106,1.05163,0.63939,1.00849,0.0017921,0.0017921,0.0017921
23,60.2363,1.09754,0.76094,1.01621,0.99793,0.92424,0.98548,0.67267,1.09974,0.61604,1.02563,0.0017822,0.0017822,0.0017822
24,62.4576,1.03349,0.72021,0.99182,0.95421,0.98485,0.9834,0.68715,1.06937,0.68443,1.01247,0.0017723,0.0017723,0.0017723
25,64.6744,0.99421,0.6712,0.96091,0.97888,0.90909,0.9754,0.66379,1.17253,0.62564,1.05688,0.0017624,0.0017624,0.0017624
26,66.9002,1.07309,0.70751,1.00302,0.93961,0.94304,0.97517,0.69228,1.07206,0.61486,1.00436,0.0017525,0.0017525,0.0017525
27,69.1311,1.00156,0.68826,0.96998,0.95288,0.91935,0.98056,0.69326,1.0457,0.59645,1.00086,0.0017426,0.0017426,0.0017426
28,71.2732,1.02747,0.67749,0.97049,0.95404,0.94367,0.9889,0.70389,1.05117,0.59463,0.99586,0.0017327,0.0017327,0.0017327
29,73.4902,1.02809,0.66524,0.98033,0.97302,0.93939,0.98652,0.69907,1.05205,0.60991,0.99624,0.0017228,0.0017228,0.0017228
30,75.6838,1.01517,0.66383,0.9813,0.9789,0.89394,0.96122,0.66947,1.10722,0.62637,1.02509,0.0017129,0.0017129,0.0017129
31,77.8452,0.97237,0.6341,0.97485,0.9696,0.96664,0.9909,0.70007,1.02856,0.56723,0.99038,0.001703,0.001703,0.001703
32,79.9914,1.02913,0.62163,0.97276,0.97051,0.99717,0.98929,0.69485,1.04076,0.54578,0.99001,0.0016931,0.0016931,0.0016931
33,82.1384,1.03857,0.62054,0.9841,0.96687,0.98485,0.99121,0.70329,1.05803,0.59269,1.00787,0.0016832,0.0016832,0.0016832
34,84.2863,1.01136,0.60179,0.95846,0.88666,0.98485,0.97921,0.70347,1.03011,0.55991,0.99129,0.0016733,0.0016733,0.0016733
35,86.4562,1.03064,0.61408,0.97355,0.98631,0.80303,0.92864,0.66073,1.03978,0.68341,1.01056,0.0016634,0.0016634,0.0016634
36,88.6608,1.03908,0.63496,0.9897,1,0.93163,0.99049,0.68607,1.09641,0.59168,1.01402,0.0016535,0.0016535,0.0016535
37,90.869,1.0133,0.60412,0.96128,0.98506,0.99931,0.99485,0.70745,1.03623,0.53475,1.00018,0.0016436,0.0016436,0.0016436
38,93.0775,1.0008,0.59195,0.98128,0.91151,0.98485,0.98747,0.69536,1.04602,0.57034,0.99406,0.0016337,0.0016337,0.0016337
